GROUP,COUNT_VH_HH,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,None (0),16672,HOUSEHOLD VEH
PARTICIPANT RESPONSE,One (1),14750,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Two (2),8176,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Three (3),1850,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Four (4),443,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Five (5),105,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Six (6),28,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Seven (7),11,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Eight (8),2,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Ten or more (10+),8,HOUSEHOLD VEH
