TOURS AND STOPS,HAS NEITHER,COUNT,CHART
"No Tours, No Stops",FALSE,97,HAS NEITHER
"No Tours, No Stops",TRUE,128,HAS NEITHER
"1 Tour, No Stops",FALSE,349,HAS NEITHER
"1 Tour, No Stops",TRUE,24,HAS NEITHER
"1 Tour, 1 Stop",FALSE,109,HAS NEITHER
"1 Tour, 1 Stop",TRUE,125,HAS NEITHER
"1 Tour, 2 Stops",FALSE,28,HAS NEITHER
"1 Tour, 2 Stops",TRUE,40,HAS NEITHER
"1 Tour, 3 Stops",FALSE,15,HAS NEITHER
"1 Tour, 3 Stops",TRUE,11,HAS NEITHER
"1 Tour, 4+ Stops",FALSE,8,HAS NEITHER
"1 Tour, 4+ Stops",TRUE,12,HAS NEITHER
"2 Tours, No Stops",FALSE,8,HAS NEITHER
"2 Tours, No Stops",TRUE,1,HAS NEITHER
"2 Tours, 1 Stop",FALSE,10,HAS NEITHER
"2 Tours, 1 Stop",TRUE,3,HAS NEITHER
"2 Tours, 2 Stops",FALSE,3,HAS NEITHER
"2 Tours, 2 Stops",TRUE,10,HAS NEITHER
"2 Tours, 3 Stops",FALSE,3,HAS NEITHER
"2 Tours, 3 Stops",TRUE,7,HAS NEITHER
"2 Tours, 4+ Stops",FALSE,1,HAS NEITHER
"2 Tours, 4+ Stops",TRUE,4,HAS NEITHER
"3 Tours, 1 Stop",FALSE,1,HAS NEITHER
"3 Tours, 2 Stops",FALSE,1,HAS NEITHER
"3 Tours, 2 Stops",TRUE,1,HAS NEITHER
"4+ Tours, 4+ Stops",TRUE,1,HAS NEITHER
