TOURS AND STOPS,HAS SCHOOL,COUNT,CHART
"No Tours, No Stops",FALSE,221,HAS SCHOOL
"No Tours, No Stops",TRUE,4,HAS SCHOOL
"1 Tour, No Stops",FALSE,328,HAS SCHOOL
"1 Tour, No Stops",TRUE,45,HAS SCHOOL
"1 Tour, 1 Stop",FALSE,220,HAS SCHOOL
"1 Tour, 1 Stop",TRUE,14,HAS SCHOOL
"1 Tour, 2 Stops",FALSE,66,HAS SCHOOL
"1 Tour, 2 Stops",TRUE,2,HAS SCHOOL
"1 Tour, 3 Stops",FALSE,25,HAS SCHOOL
"1 Tour, 3 Stops",TRUE,1,HAS SCHOOL
"1 Tour, 4+ Stops",FALSE,19,HAS SCHOOL
"1 Tour, 4+ Stops",TRUE,1,HAS SCHOOL
"2 Tours, No Stops",FALSE,5,HAS SCHOOL
"2 Tours, No Stops",TRUE,4,HAS SCHOOL
"2 Tours, 1 Stop",FALSE,10,HAS SCHOOL
"2 Tours, 1 Stop",TRUE,3,HAS SCHOOL
"2 Tours, 2 Stops",FALSE,12,HAS SCHOOL
"2 Tours, 2 Stops",TRUE,1,HAS SCHOOL
"2 Tours, 3 Stops",FALSE,10,HAS SCHOOL
"2 Tours, 4+ Stops",FALSE,5,HAS SCHOOL
"3 Tours, 1 Stop",FALSE,1,HAS SCHOOL
"3 Tours, 2 Stops",FALSE,2,HAS SCHOOL
"4+ Tours, 4+ Stops",FALSE,1,HAS SCHOOL
