TOURS AND STOPS,HAS WORK,COUNT,CHART
"No Tours, No Stops",FALSE,131,HAS WORK
"No Tours, No Stops",TRUE,94,HAS WORK
"1 Tour, No Stops",FALSE,64,HAS WORK
"1 Tour, No Stops",TRUE,309,HAS WORK
"1 Tour, 1 Stop",FALSE,134,HAS WORK
"1 Tour, 1 Stop",TRUE,100,HAS WORK
"1 Tour, 2 Stops",FALSE,42,HAS WORK
"1 Tour, 2 Stops",TRUE,26,HAS WORK
"1 Tour, 3 Stops",FALSE,12,HAS WORK
"1 Tour, 3 Stops",TRUE,14,HAS WORK
"1 Tour, 4+ Stops",FALSE,13,HAS WORK
"1 Tour, 4+ Stops",TRUE,7,HAS WORK
"2 Tours, No Stops",FALSE,1,HAS WORK
"2 Tours, No Stops",TRUE,8,HAS WORK
"2 Tours, 1 Stop",FALSE,5,HAS WORK
"2 Tours, 1 Stop",TRUE,8,HAS WORK
"2 Tours, 2 Stops",FALSE,11,HAS WORK
"2 Tours, 2 Stops",TRUE,2,HAS WORK
"2 Tours, 3 Stops",FALSE,7,HAS WORK
"2 Tours, 3 Stops",TRUE,3,HAS WORK
"2 Tours, 4+ Stops",FALSE,4,HAS WORK
"2 Tours, 4+ Stops",TRUE,1,HAS WORK
"3 Tours, 1 Stop",TRUE,1,HAS WORK
"3 Tours, 2 Stops",FALSE,1,HAS WORK
"3 Tours, 2 Stops",TRUE,1,HAS WORK
"4+ Tours, 4+ Stops",FALSE,1,HAS WORK
