TOURS AND STOPS,NON TRANSIT,COUNT,CHART
"No Tours, No Stops",FALSE,109,NON TRANSIT
"No Tours, No Stops",TRUE,116,NON TRANSIT
"1 Tour, No Stops",FALSE,321,NON TRANSIT
"1 Tour, No Stops",TRUE,52,NON TRANSIT
"1 Tour, 1 Stop",FALSE,172,NON TRANSIT
"1 Tour, 1 Stop",TRUE,62,NON TRANSIT
"1 Tour, 2 Stops",FALSE,51,NON TRANSIT
"1 Tour, 2 Stops",TRUE,17,NON TRANSIT
"1 Tour, 3 Stops",FALSE,20,NON TRANSIT
"1 Tour, 3 Stops",TRUE,6,NON TRANSIT
"1 Tour, 4+ Stops",FALSE,9,NON TRANSIT
"1 Tour, 4+ Stops",TRUE,11,NON TRANSIT
"2 Tours, No Stops",FALSE,9,NON TRANSIT
"2 Tours, 1 Stop",FALSE,9,NON TRANSIT
"2 Tours, 1 Stop",TRUE,4,NON TRANSIT
"2 Tours, 2 Stops",FALSE,10,NON TRANSIT
"2 Tours, 2 Stops",TRUE,3,NON TRANSIT
"2 Tours, 3 Stops",FALSE,6,NON TRANSIT
"2 Tours, 3 Stops",TRUE,4,NON TRANSIT
"2 Tours, 4+ Stops",FALSE,3,NON TRANSIT
"2 Tours, 4+ Stops",TRUE,2,NON TRANSIT
"3 Tours, 1 Stop",FALSE,1,NON TRANSIT
"3 Tours, 2 Stops",FALSE,2,NON TRANSIT
"4+ Tours, 4+ Stops",TRUE,1,NON TRANSIT
