Percent Time at Location,Week,Percent Time at Location ,Chart
Home,2/3/2020,66.5,Weekend
Home,2/10/2020,64.16,Weekend
Home,2/17/2020,65.07,Weekend
Home,2/24/2020,65.56,Weekend
Home,3/2/2020,65.45,Weekend
Home,3/9/2020,72.73,Weekend
Home,3/16/2020,80.69,Weekend
Home,3/23/2020,85.22,Weekend
Home,3/30/2020,84.21,Weekend
Home,4/6/2020,84.87,Weekend
Home,2/3/2020,45.54,Weekday
Home,2/10/2020,44.28,Weekday
Home,2/17/2020,48.59,Weekday
Home,2/24/2020,42.45,Weekday
Home,3/2/2020,42.68,Weekday
Home,3/9/2020,46.9,Weekday
Home,3/16/2020,67.16,Weekday
Home,3/23/2020,77.1,Weekday
Home,3/30/2020,78.4,Weekday
Home,4/6/2020,79.25,Weekday
Home,4/13/2020,81.42,Weekday
Work,2/3/2020,10.52,Weekend
Work,2/10/2020,10.35,Weekend
Work,2/17/2020,10.55,Weekend
Work,2/24/2020,10.16,Weekend
Work,3/2/2020,10.54,Weekend
Work,3/9/2020,9.52,Weekend
Work,3/16/2020,8.38,Weekend
Work,3/23/2020,7.11,Weekend
Work,3/30/2020,7.1,Weekend
Work,4/6/2020,6.59,Weekend
Work,2/3/2020,38.08,Weekday
Work,2/10/2020,38.7,Weekday
Work,2/17/2020,31.48,Weekday
Work,2/24/2020,40.06,Weekday
Work,3/2/2020,38.88,Weekday
Work,3/9/2020,36.2,Weekday
Work,3/16/2020,21.45,Weekday
Work,3/23/2020,14.94,Weekday
Work,3/30/2020,13.69,Weekday
Work,4/6/2020,12.76,Weekday
Work,4/13/2020,12.14,Weekday
Other,2/3/2020,22.98,Weekend
Other,2/10/2020,25.49,Weekend
Other,2/17/2020,24.38,Weekend
Other,2/24/2020,24.27,Weekend
Other,3/2/2020,24.01,Weekend
Other,3/9/2020,17.75,Weekend
Other,3/16/2020,10.93,Weekend
Other,3/23/2020,7.66,Weekend
Other,3/30/2020,8.69,Weekend
Other,4/6/2020,8.53,Weekend
Other,2/3/2020,16.38,Weekday
Other,2/10/2020,17.02,Weekday
Other,2/17/2020,19.93,Weekday
Other,2/24/2020,17.49,Weekday
Other,3/2/2020,18.44,Weekday
Other,3/9/2020,16.9,Weekday
Other,3/16/2020,11.39,Weekday
Other,3/23/2020,7.96,Weekday
Other,3/30/2020,7.91,Weekday
Other,4/6/2020,7.99,Weekday
Other,4/13/2020,6.44,Weekday
